	501_1136.21	447_1125.06	419_1145.49	525_1144.63	avg	CatSel	CatCombSel
cat111_cat10	56	49	41	48	48.5		
cat111_cat5	51	49	46	48	48.5		1
cat36_cat9	43	43	49	59	48.5		
lin_cont5+lin_cont9	155	14	11	14	48.5		
cat36_cat2	54	37	48	53	48		
lin_cont10+lin_cont11	48	43	39	60	47.5		
cat99	64	44	60	21	47.25		
lin_cont9+lin_cont10	44	43	41	61	47.25		
lin_cont10*lin_cont11	49	46	42	51	47		
lin_cont9*lin_cont10	41	53	37	55	46.5		
cat50_cat87	39	45	38	63	46.25		
cat80_cat57	45	41	48	51	46.25		1
lin_cont9*lin_cont11	55	39	38	52	46		
cat6_cat1	42	51	43	46	45.5		
cat73_cat9	49	47	40	46	45.5		
cat1_cat2	51	42	36	52	45.25		
lin_cont9+lin_cont11	52	39	42	48	45.25		
cat23_cat2	48	41	50	39	44.5		
lin_cont2-lin_cont5	114	22	14	28	44.5		
cat66	53	38	38	48	44.25		
cat11_cat87	49	44	43	39	43.75		
cat38_cat2	51	38	39	47	43.75		
cat76_cat2	47	38	44	46	43.75		
cat72_cat25	42	50	39	43	43.5		
lin_cont3-lin_cont5	144	7	7	16	43.5		
cat24_cat103	28	44	38	60	42.5		1
cat6_cat12	55	43	30	42	42.5		
cat6_cat80	41	41	47	41	42.5		
cat72_cat11	41	44	39	46	42.5		
cat103_cat13	48	34	36	51	42.25		
cat79_cat9	49	36	36	47	42		
lin_cont3-lin_cont11	48	42	37	40	41.75		
lin_cont6-lin_cont8	30	55	38	44	41.75		
cont9	13	18	19	114	41		
lin_cont11-lin_cont14	140	9	5	5	39.75		
lin_cont6-lin_cont10	20	49	35	55	39.75		
cat103_cat25	40	47	28	40	38.75		
cat79_cat50	38	40	36	41	38.75		
cat76_cat72	44	34	27	49	38.5		
cat4_cat5	37	42	33	41	38.25		
cat67	38	40	33	42	38.25		
cat6_cat10	34	32	35	51	38		
cat72_cat13	44	31	32	45	38		
cat73_cat2	40	38	35	39	38		
cat13_cat87	39	40	35	36	37.5		
cat50_cat36	51	40	25	34	37.5		
cat80_cat9	40	36	31	43	37.5		
cat1_cat87	49	25	35	40	37.25		
cat38_cat87	43	39	32	33	36.75		
cat1_cat10	46	31	30	35	35.5		
cat41	47	26	31	38	35.5		
cat76_cat80	33	31	39	39	35.5		
cat50_cat10	45	28	26	41	35		
cat6_cat38	39	31	33	37	35		
cat72_cat38	35	33	31	41	35		
cat98	22	30	27	61	35		
cont10	39	39	36	26	35		
cat6_cat25	42	35	25	37	34.75		
lin_cont2+lin_cont5	98	14	10	17	34.75		
cont7	35	44	37	22	34.5		
cat1_cat36	31	42	29	35	34.25		
cat2_cat87	29	38	34	36	34.25		
lin_cont6-lin_cont11	48	25	32	32	34.25		
cat1_cat23	32	34	20	50	34		
cat6_cat57	33	41	35	26	33.75		
cat50_cat23	39	29	25	41	33.5		
cat50_cat81	31	29	38	36	33.5		
cat7_cat87	33	37	33	31	33.5		1
cat80_cat3	32	37	32	32	33.25		1
cat12_cat25	35	26	26	44	32.75		
cat21	34	33	28	34	32.25		
cat30	32	28	25	44	32.25		
cat65	28	28	40	33	32.25		
cat97	32	39	34	24	32.25		
lin_cont6-lin_cont12	32	26	33	38	32.25		
cat73_cat40	35	31	25	37	32		1
cat73_cat87	32	34	31	30	31.75		
cat6_cat23	29	34	31	32	31.5		
cat3_cat87	33	24	32	36	31.25		
cat23_cat87	25	38	32	29	31		
cont12	17	23	12	72	31		
cat111_cat3	23	34	30	36	30.75		
cat12_cat57	34	32	30	27	30.75		
cat50_cat25	22	40	32	29	30.75		
cat9_cat23	28	37	27	31	30.75		
cat9_cat25	24	38	30	31	30.75		
cat6_cat11	34	25	24	39	30.5		
lin_cont5-lin_cont6	48	25	26	23	30.5		
cat2_cat5	29	36	30	26	30.25		
cat36_cat87	30	31	31	29	30.25		
cat76_cat9	33	34	24	30	30.25		
cat9_cat38	34	39	32	16	30.25		
cat6_cat81	35	22	35	28	30		
lin_cont6+lin_cont8	25	31	32	32	30		
cat73_cat36	40	23	24	32	29.75		
cat1_cat12	29	31	26	32	29.5		
cat23_cat13	30	28	31	29	29.5		
cat25_cat87	30	39	34	15	29.5		
cat81_cat2	28	31	29	30	29.5		
lin_cont5+lin_cont6	27	29	27	35	29.5		
cat57_cat87	25	32	37	23	29.25		
cont1	16	25	23	53	29.25		
cat10_cat87	26	35	30	25	29		
cat42	29	30	23	33	28.75		
cat79_cat10	26	34	29	26	28.75		
cat36_cat11	30	24	20	40	28.5		
lin_cont6+lin_cont11	41	27	18	28	28.5		
cat10_cat38	37	25	24	27	28.25		
cat76_cat87	32	29	28	24	28.25		
cat6_cat13	30	24	33	25	28		
cat73_cat12	31	18	29	34	28		
cat80_cat12	34	31	27	20	28		
cat51	29	24	27	31	27.75		
cat80_cat50	31	25	22	33	27.75		
cat12_cat87	27	27	28	28	27.5		
cat23_cat38	31	20	33	26	27.5		
cat36_cat12	33	30	19	28	27.5		
cat50_cat12	37	29	20	24	27.5		
cat80_cat36	25	33	22	29	27.25		
cat32	26	27	26	28	26.75		
cat25_cat38	24	29	23	30	26.5		
cat36_cat25	30	18	32	26	26.5		
cat4_cat2	35	24	25	22	26.5		
cat54	22	24	23	37	26.5		
lin_cont6+lin_cont10	11	31	34	29	26.25		
cat73_cat10	21	19	31	33	26		
cat103_cat3	25	19	34	25	25.75		
cat43	29	24	20	29	25.5		
cat76_cat73	30	23	21	28	25.5		
cat80_cat10	36	21	22	22	25.25		
cat1_cat38	27	24	24	25	25		
cat50_cat38	20	24	19	37	25		
cat11_cat3	22	23	23	31	24.75		
cat25_cat13	33	19	21	26	24.75		
cat72_cat40	19	31	22	27	24.75		
cat11_cat13	21	26	22	29	24.5		
cat72_cat3	30	23	24	21	24.5		
cat73_cat24	30	20	24	24	24.5		
cat79_cat13	23	26	26	23	24.5		
